areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,2021-10-29,49923871
K02000001,United Kingdom,overview,2021-10-28,49882904
K02000001,United Kingdom,overview,2021-10-27,49838202
K02000001,United Kingdom,overview,2021-10-26,49794120
K02000001,United Kingdom,overview,2021-10-25,49753037
K02000001,United Kingdom,overview,2021-10-24,49715228
K02000001,United Kingdom,overview,2021-10-23,49689481
K02000001,United Kingdom,overview,2021-10-22,49649389
K02000001,United Kingdom,overview,2021-10-21,49603139
K02000001,United Kingdom,overview,2021-10-20,49554407
K02000001,United Kingdom,overview,2021-10-19,49505327
K02000001,United Kingdom,overview,2021-10-18,49462425
K02000001,United Kingdom,overview,2021-10-17,49422753
K02000001,United Kingdom,overview,2021-10-16,49404916
K02000001,United Kingdom,overview,2021-10-15,49375917
K02000001,United Kingdom,overview,2021-10-14,49335154
K02000001,United Kingdom,overview,2021-10-13,49291665
K02000001,United Kingdom,overview,2021-10-12,49252939
K02000001,United Kingdom,overview,2021-10-11,49216092
K02000001,United Kingdom,overview,2021-10-10,49186920
K02000001,United Kingdom,overview,2021-10-09,49164814
K02000001,United Kingdom,overview,2021-10-08,49133419
K02000001,United Kingdom,overview,2021-10-07,49101734
K02000001,United Kingdom,overview,2021-10-06,49068705
K02000001,United Kingdom,overview,2021-10-05,49035877
K02000001,United Kingdom,overview,2021-10-04,48994530
K02000001,United Kingdom,overview,2021-10-03,48956859
K02000001,United Kingdom,overview,2021-10-02,48932736
K02000001,United Kingdom,overview,2021-10-01,48901670
K02000001,United Kingdom,overview,2021-09-30,48863490
K02000001,United Kingdom,overview,2021-09-29,48829118
K02000001,United Kingdom,overview,2021-09-28,48797579
K02000001,United Kingdom,overview,2021-09-27,48765726
K02000001,United Kingdom,overview,2021-09-26,48740807
K02000001,United Kingdom,overview,2021-09-25,48724823
K02000001,United Kingdom,overview,2021-09-24,48700527
K02000001,United Kingdom,overview,2021-09-23,48672910
K02000001,United Kingdom,overview,2021-09-22,48647827
K02000001,United Kingdom,overview,2021-09-21,48625148
K02000001,United Kingdom,overview,2021-09-20,48604764
K02000001,United Kingdom,overview,2021-09-19,48584614
K02000001,United Kingdom,overview,2021-09-18,48570774
K02000001,United Kingdom,overview,2021-09-17,48544576
K02000001,United Kingdom,overview,2021-09-16,48523798
K02000001,United Kingdom,overview,2021-09-15,48500747
K02000001,United Kingdom,overview,2021-09-14,48476345
K02000001,United Kingdom,overview,2021-09-13,48458700
K02000001,United Kingdom,overview,2021-09-12,48439272
K02000001,United Kingdom,overview,2021-09-11,48424317
K02000001,United Kingdom,overview,2021-09-10,48396404
K02000001,United Kingdom,overview,2021-09-09,48370340
K02000001,United Kingdom,overview,2021-09-08,48344566
K02000001,United Kingdom,overview,2021-09-07,48319435
K02000001,United Kingdom,overview,2021-09-06,48292811
K02000001,United Kingdom,overview,2021-09-05,48270113
K02000001,United Kingdom,overview,2021-09-04,48248318
K02000001,United Kingdom,overview,2021-09-03,48207264
K02000001,United Kingdom,overview,2021-09-02,48171998
K02000001,United Kingdom,overview,2021-09-01,48131996
K02000001,United Kingdom,overview,2021-08-31,48087908
K02000001,United Kingdom,overview,2021-08-30,48048009
K02000001,United Kingdom,overview,2021-08-29,48028366
K02000001,United Kingdom,overview,2021-08-28,48003976
K02000001,United Kingdom,overview,2021-08-27,47960705
K02000001,United Kingdom,overview,2021-08-26,47915768
K02000001,United Kingdom,overview,2021-08-25,47860628
K02000001,United Kingdom,overview,2021-08-24,47792552
K02000001,United Kingdom,overview,2021-08-23,47737142
K02000001,United Kingdom,overview,2021-08-22,47690741
K02000001,United Kingdom,overview,2021-08-21,47650396
K02000001,United Kingdom,overview,2021-08-20,47577390
K02000001,United Kingdom,overview,2021-08-19,47516505
K02000001,United Kingdom,overview,2021-08-18,47460526
K02000001,United Kingdom,overview,2021-08-17,47413242
K02000001,United Kingdom,overview,2021-08-16,47369418
K02000001,United Kingdom,overview,2021-08-15,47333702
K02000001,United Kingdom,overview,2021-08-14,47302445
K02000001,United Kingdom,overview,2021-08-13,47255842
K02000001,United Kingdom,overview,2021-08-12,47215352
K02000001,United Kingdom,overview,2021-08-11,47170968
K02000001,United Kingdom,overview,2021-08-10,47129400
K02000001,United Kingdom,overview,2021-08-09,47091889
K02000001,United Kingdom,overview,2021-08-08,47059639
K02000001,United Kingdom,overview,2021-08-07,47036796
K02000001,United Kingdom,overview,2021-08-06,46998806
K02000001,United Kingdom,overview,2021-08-05,46961830
K02000001,United Kingdom,overview,2021-08-04,46926330
K02000001,United Kingdom,overview,2021-08-03,46892996
K02000001,United Kingdom,overview,2021-08-02,46863706
K02000001,United Kingdom,overview,2021-08-01,46837614
K02000001,United Kingdom,overview,2021-07-31,46816382
K02000001,United Kingdom,overview,2021-07-30,46777556
K02000001,United Kingdom,overview,2021-07-29,46740832
K02000001,United Kingdom,overview,2021-07-28,46698479
K02000001,United Kingdom,overview,2021-07-27,46654632
K02000001,United Kingdom,overview,2021-07-26,46619230
K02000001,United Kingdom,overview,2021-07-25,46589211
K02000001,United Kingdom,overview,2021-07-24,46564660
K02000001,United Kingdom,overview,2021-07-23,46520855
K02000001,United Kingdom,overview,2021-07-22,46477881
K02000001,United Kingdom,overview,2021-07-21,46433845
K02000001,United Kingdom,overview,2021-07-20,46388744
K02000001,United Kingdom,overview,2021-07-19,46349709
K02000001,United Kingdom,overview,2021-07-18,46314039
K02000001,United Kingdom,overview,2021-07-17,46295853
K02000001,United Kingdom,overview,2021-07-16,46228636
K02000001,United Kingdom,overview,2021-07-15,46159145
K02000001,United Kingdom,overview,2021-07-14,46097464
K02000001,United Kingdom,overview,2021-07-13,46037090
K02000001,United Kingdom,overview,2021-07-12,45978017
K02000001,United Kingdom,overview,2021-07-11,45923721
