areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByPublishDate
K02000001,United Kingdom,overview,2021-10-26,264468
K02000001,United Kingdom,overview,2021-10-25,244992
K02000001,United Kingdom,overview,2021-10-24,170505
K02000001,United Kingdom,overview,2021-10-23,370429
K02000001,United Kingdom,overview,2021-10-22,298685
K02000001,United Kingdom,overview,2021-10-21,289601
K02000001,United Kingdom,overview,2021-10-20,257094
K02000001,United Kingdom,overview,2021-10-19,232075
K02000001,United Kingdom,overview,2021-10-18,178205
K02000001,United Kingdom,overview,2021-10-17,118032
K02000001,United Kingdom,overview,2021-10-16,306200
K02000001,United Kingdom,overview,2021-10-15,220888
K02000001,United Kingdom,overview,2021-10-14,239017
K02000001,United Kingdom,overview,2021-10-13,192497
K02000001,United Kingdom,overview,2021-10-12,163318
K02000001,United Kingdom,overview,2021-10-11,124536
K02000001,United Kingdom,overview,2021-10-10,93476
K02000001,United Kingdom,overview,2021-10-09,250809
K02000001,United Kingdom,overview,2021-10-08,173928
K02000001,United Kingdom,overview,2021-10-07,177629
K02000001,United Kingdom,overview,2021-10-06,162097
K02000001,United Kingdom,overview,2021-10-05,156100
K02000001,United Kingdom,overview,2021-10-04,123877
K02000001,United Kingdom,overview,2021-10-03,89518
K02000001,United Kingdom,overview,2021-10-02,194461
K02000001,United Kingdom,overview,2021-10-01,153912
